Experiment	Sector	Variable	GTAPVar	Description	Unit	Value	Type
ExB15	Food	qxwcom	qxwcom	qxwcom	qxwcom	2.80011391639709	tms changes
ExB15	Mnfcs	qxwcom	qxwcom	qxwcom	qxwcom	0.171621590852737	TOTAL
ExB15	Mnfcs	qxwcom	qxwcom	qxwcom	qxwcom	0.0241155996918678	to changes
ExB15	Mnfcs	qxwcom	qxwcom	qxwcom	qxwcom	0.0628998801112175	txs changes
ExB15	Mnfcs	qxwcom	qxwcom	qxwcom	qxwcom	0.0846060141921043	tms changes
ExB15	Svces	qxwcom	qxwcom	qxwcom	qxwcom	0.295169293880463	TOTAL
ExB15	Svces	qxwcom	qxwcom	qxwcom	qxwcom	0.0338830016553402	to changes
ExB15	Svces	qxwcom	qxwcom	qxwcom	qxwcom	-0.0654393956065178	txs changes
ExB15	Svces	qxwcom	qxwcom	qxwcom	qxwcom	0.326725631952286	tms changes
ExB15	Food	valuew	valuew	valuew	valuew	1.20244920253754	TOTAL
ExB15	Food	valuew	valuew	valuew	valuew	0.260927021503448	to changes
ExB15	Food	valuew	valuew	valuew	valuew	1.0595395565033	txs changes
ExB15	Food	valuew	valuew	valuew	valuew	-0.118017718195915	tms changes
ExB15	Mnfcs	valuew	valuew	valuew	valuew	-0.0234218500554562	TOTAL
ExB15	Mnfcs	valuew	valuew	valuew	valuew	0.0128429615870118	to changes
ExB15	Mnfcs	valuew	valuew	valuew	valuew	0.0015208515105769	txs changes
ExB15	Mnfcs	valuew	valuew	valuew	valuew	-0.037785641849041	tms changes
ExB15	Svces	valuew	valuew	valuew	valuew	-0.0265414975583553	TOTAL
ExB15	Svces	valuew	valuew	valuew	valuew	0.0202720742672682	to changes
ExB15	Svces	valuew	valuew	valuew	valuew	-0.00815935712307692	txs changes
ExB15	Svces	valuew	valuew	valuew	valuew	-0.0386541895568371	tms changes
ExB15	Food	valuewu	valuewu	valuewu	valuewu	0.324676603078842	TOTAL
ExB15	Food	valuewu	valuewu	valuewu	valuewu	0.264451712369919	to changes
ExB15	Food	valuewu	valuewu	valuewu	valuewu	0.307259619235992	txs changes
ExB15	Food	valuewu	valuewu	valuewu	valuewu	-0.247044056653976	tms changes
ExB15	Mnfcs	valuewu	valuewu	valuewu	valuewu	-0.0247855745255947	TOTAL
ExB15	Mnfcs	valuewu	valuewu	valuewu	valuewu	0.0121532408520579	to changes
ExB15	Mnfcs	valuewu	valuewu	valuewu	valuewu	0.000344998174114153	txs changes
ExB15	Mnfcs	valuewu	valuewu	valuewu	valuewu	-0.0372838005423546	tms changes
ExB15	Svces	valuewu	valuewu	valuewu	valuewu	-0.0487792603671551	TOTAL
ExB15	Svces	valuewu	valuewu	valuewu	valuewu	0.0187528915703297	to changes
ExB15	Svces	valuewu	valuewu	valuewu	valuewu	-0.00827514473348856	txs changes
ExB15	Svces	valuewu	valuewu	valuewu	valuewu	-0.0592570081353188	tms changes
ExB15	Food	vmwcom	vmwcom	vmwcom	vmwcom	1.1854362487793	TOTAL
ExB15	Food	vmwcom	vmwcom	vmwcom	vmwcom	0.463132441043854	to changes
ExB15	Food	vmwcom	vmwcom	vmwcom	vmwcom	-2.29654884338379	txs changes
ExB15	Food	vmwcom	vmwcom	vmwcom	vmwcom	3.01885223388672	tms changes
ExB15	Mnfcs	vmwcom	vmwcom	vmwcom	vmwcom	0.0304220970720053	TOTAL
ExB15	Mnfcs	vmwcom	vmwcom	vmwcom	vmwcom	0.0204331260174513	to changes
ExB15	Mnfcs	vmwcom	vmwcom	vmwcom	vmwcom	0.0240060519427061	txs changes
ExB15	Mnfcs	vmwcom	vmwcom	vmwcom	vmwcom	-0.0140059851109982	tms changes
ExB15	Svces	vmwcom	vmwcom	vmwcom	vmwcom	-0.0982875227928162	TOTAL
ExB15	Svces	vmwcom	vmwcom	vmwcom	vmwcom	0.0119316205382347	to changes
ExB15	Svces	vmwcom	vmwcom	vmwcom	vmwcom	-0.0285604540258646	txs changes
ExB15	Svces	vmwcom	vmwcom	vmwcom	vmwcom	-0.0816587209701538	tms changes
