Experiment	Region	Variable	GTAPVar	Description	Unit	Value	Type
ExB15	ROW	afreg	afreg	afreg	afreg	0	tms changes
ExB15	SSA	aintreg	aintreg	aintreg	aintreg	0	TOTAL
ExB15	SSA	aintreg	aintreg	aintreg	aintreg	0	to changes
ExB15	SSA	aintreg	aintreg	aintreg	aintreg	0	txs changes
ExB15	SSA	aintreg	aintreg	aintreg	aintreg	0	tms changes
ExB15	EU	aintreg	aintreg	aintreg	aintreg	0	TOTAL
ExB15	EU	aintreg	aintreg	aintreg	aintreg	0	to changes
ExB15	EU	aintreg	aintreg	aintreg	aintreg	0	txs changes
ExB15	EU	aintreg	aintreg	aintreg	aintreg	0	tms changes
ExB15	ROW	aintreg	aintreg	aintreg	aintreg	0	TOTAL
ExB15	ROW	aintreg	aintreg	aintreg	aintreg	0	to changes
ExB15	ROW	aintreg	aintreg	aintreg	aintreg	0	txs changes
ExB15	ROW	aintreg	aintreg	aintreg	aintreg	0	tms changes
ExB15	SSA	aoreg	aoreg	aoreg	aoreg	0	TOTAL
ExB15	SSA	aoreg	aoreg	aoreg	aoreg	0	to changes
ExB15	SSA	aoreg	aoreg	aoreg	aoreg	0	txs changes
ExB15	SSA	aoreg	aoreg	aoreg	aoreg	0	tms changes
ExB15	EU	aoreg	aoreg	aoreg	aoreg	0	TOTAL
ExB15	EU	aoreg	aoreg	aoreg	aoreg	0	to changes
ExB15	EU	aoreg	aoreg	aoreg	aoreg	0	txs changes
ExB15	EU	aoreg	aoreg	aoreg	aoreg	0	tms changes
ExB15	ROW	aoreg	aoreg	aoreg	aoreg	0	TOTAL
ExB15	ROW	aoreg	aoreg	aoreg	aoreg	0	to changes
ExB15	ROW	aoreg	aoreg	aoreg	aoreg	0	txs changes
ExB15	ROW	aoreg	aoreg	aoreg	aoreg	0	tms changes
ExB15	SSA	atd	atd	atd	atd	0	TOTAL
ExB15	SSA	atd	atd	atd	atd	0	to changes
ExB15	SSA	atd	atd	atd	atd	0	txs changes
ExB15	SSA	atd	atd	atd	atd	0	tms changes
ExB15	EU	atd	atd	atd	atd	0	TOTAL
ExB15	EU	atd	atd	atd	atd	0	to changes
ExB15	EU	atd	atd	atd	atd	0	txs changes
ExB15	EU	atd	atd	atd	atd	0	tms changes
ExB15	ROW	atd	atd	atd	atd	0	TOTAL
ExB15	ROW	atd	atd	atd	atd	0	to changes
